部署ID,部署名,役職ID,役職名,レベル
DEPT001,総務部,POS001,代表取締役,10
DEPT001,総務部,POS002,取締役,9
DEPT001,総務部,POS003,部長,8
DEPT001,総務部,POS004,課長,7
DEPT001,総務部,POS005,主任,6
DEPT001,総務部,POS006,主席,5
DEPT001,総務部,POS007,senior,4
DEPT001,総務部,POS008,一般職,1
DEPT002,営業部,POS001,代表取締役,10
DEPT002,営業部,POS002,取締役,9
DEPT002,営業部,POS003,部長,8
DEPT002,営業部,POS004,課長,7
DEPT002,営業部,POS005,主任,6
DEPT002,営業部,POS006,主席,5
DEPT002,営業部,POS007,senior,4
DEPT002,営業部,POS008,一般職,1
DEPT003,開発部,POS001,代表取締役,10
DEPT003,開発部,POS002,取締役,9
DEPT003,開発部,POS003,部長,8
DEPT003,開発部,POS004,課長,7
DEPT003,開発部,POS005,主任,6
DEPT003,開発部,POS006,主席,5
DEPT003,開発部,POS007,senior,4
DEPT003,開発部,POS008,一般職,1
DEPT004,企画部,POS001,代表取締役,10
DEPT004,企画部,POS002,取締役,9
DEPT004,企画部,POS003,部長,8
DEPT004,企画部,POS004,課長,7
DEPT004,企画部,POS005,主任,6
DEPT004,企画部,POS006,主席,5
DEPT004,企画部,POS007,senior,4
DEPT004,企画部,POS008,一般職,1
DEPT005,品質管理部,POS001,代表取締役,10
DEPT005,品質管理部,POS002,取締役,9
DEPT005,品質管理部,POS003,部長,8
DEPT005,品質管理部,POS004,課長,7
DEPT005,品質管理部,POS005,主任,6
DEPT005,品質管理部,POS006,主席,5
DEPT005,品質管理部,POS007,senior,4
DEPT005,品質管理部,POS008,一般職,1 